aX,aY,aZ,gX,gY,gZ
-0.352,0.291,1.057,57.866,15.976,43.659
-0.337,0.298,1.035,64.634,15.732,44.878
-0.321,0.292,1.008,69.085,19.390,40.183
-0.317,0.253,0.973,69.573,21.585,37.317
-0.315,0.204,0.941,70.549,24.390,34.329
-0.311,0.138,0.913,70.549,23.720,32.134
-0.305,0.081,0.852,62.256,22.256,29.817
-0.305,0.036,0.812,60.915,18.354,29.024
-0.308,0.012,0.801,54.268,14.024,29.695
-0.313,0.027,0.808,49.634,10.732,28.354
-0.312,0.057,0.832,40.915,8.659,26.402
-0.313,0.096,0.869,29.695,9.878,25.793
-0.310,0.118,0.924,21.402,10.915,21.707
-0.305,0.177,0.959,13.232,11.524,18.415
-0.306,0.214,1.000,5.671,12.378,17.988
-0.319,0.240,1.002,2.622,17.805,11.585
-0.341,0.247,0.986,3.659,21.280,13.476
-0.349,0.243,0.945,0.183,20.610,11.341
-0.332,0.230,0.889,-0.061,28.537,9.573
-0.316,0.200,0.824,8.049,28.110,7.622
-0.304,0.171,0.756,5.000,31.098,6.402
-0.269,0.170,0.702,9.756,26.707,7.195

-0.348,-1.153,1.246,-877.744,-121.463,-111.037
-0.364,-1.214,1.326,-866.159,-114.695,-106.890
-0.416,-1.223,1.440,-848.232,-115.000,-98.902
-0.450,-1.228,1.546,-833.537,-114.512,-97.683
-0.486,-1.246,1.638,-809.146,-106.341,-89.695
-0.510,-1.198,1.764,-781.707,-95.915,-81.280
-0.513,-1.266,1.889,-737.683,-83.659,-73.293
-0.559,-1.303,2.039,-689.390,-66.829,-62.317
-0.527,-1.215,2.150,-639.939,-49.024,-46.646
-0.568,-1.147,2.206,-602.256,-25.854,-35.793
-0.569,-1.069,2.298,-563.659,1.890,-25.305
-0.542,-0.958,2.239,-526.890,33.841,-16.951
-0.468,-0.878,2.068,-493.659,61.829,-10.000
-0.416,-0.751,1.822,-459.817,90.671,-3.659
-0.363,-0.603,1.526,-433.598,107.134,0.244
-0.349,-0.515,1.231,-405.244,124.512,4.268
-0.310,-0.479,0.986,-379.756,146.646,4.024
-0.234,-0.313,0.647,-356.463,153.537,11.768
-0.153,-0.136,0.400,-329.207,146.402,3.476
-0.080,0.156,0.246,-301.402,145.366,2.744
-0.072,0.417,0.064,-274.085,142.439,-4.024
-0.105,0.650,-0.137,-249.695,127.195,-16.280
-0.116,0.716,-0.191,-222.988,105.854,-34.024
-0.090,0.580,-0.096,-195.183,100.488,-49.695
-0.083,0.379,-0.086,-168.598,99.756,-58.963
-0.043,0.153,-0.031,-151.037,99.756,-71.585
-0.017,-0.215,0.013,-136.646,105.549,-84.695
0.025,-0.520,-0.012,-123.415,114.878,-81.220
0.052,-0.736,-0.123,-115.854,125.244,-79.146
0.071,-0.864,-0.303,-115.793,134.085,-79.146
0.103,-0.955,-0.480,-114.146,136.341,-75.854
0.142,-1.103,-0.690,-110.976,139.695,-75.793
0.192,-1.221,-0.934,-106.768,131.768,-68.537
0.231,-1.327,-1.103,-104.146,112.927,-60.183
0.202,-1.409,-1.217,-94.207,96.341,-52.500
0.198,-1.408,-1.319,-88.780,83.415,-45.366
0.189,-1.458,-1.381,-74.024,65.183,-32.195
0.167,-1.378,-1.396,-53.780,43.963,-19.390
0.159,-1.288,-1.370,-33.720,29.390,-9.329
0.157,-1.190,-1.295,-14.512,15.488,-4.878
0.138,-1.151,-1.209,3.049,5.366,4.573
0.115,-1.132,-1.126,24.207,-2.439,8.354
0.135,-1.140,-1.031,42.500,-8.902,14.207
0.086,-1.181,-0.965,71.646,-15.549,23.963
0.019,-1.159,-0.892,94.817,-13.659,30.732
-0.007,-1.076,-0.834,124.268,-19.146,39.207
-0.003,-0.981,-0.769,160.244,-20.915,48.720
-0.027,-0.910,-0.732,196.890,-21.890,52.134
-0.044,-0.884,-0.675,236.341,-23.476,59.390
-0.072,-0.913,-0.620,278.598,-24.268,63.354
-0.074,-0.969,-0.565,327.073,-25.000,72.805
-0.101,-1.028,-0.501,372.866,-21.890,85.244
-0.119,-1.089,-0.458,420.976,-21.098,91.951
-0.178,-1.139,-0.406,469.024,-24.268,104.756
-0.154,-1.109,-0.334,520.000,-15.915,120.549
-0.159,-1.021,-0.311,565.305,-8.902,132.866
-0.164,-0.959,-0.302,606.707,-4.268,143.598
-0.179,-0.880,-0.338,635.793,-4.634,149.817
-0.157,-0.800,-0.372,662.744,-5.183,154.573
-0.166,-0.785,-0.406,682.256,-5.549,162.195
-0.190,-0.723,-0.440,696.098,-8.293,162.683
-0.188,-0.655,-0.445,707.744,-20.854,164.085
-0.210,-0.526,-0.431,707.134,-25.427,169.146
-0.203,-0.457,-0.343,706.341,-34.878,165.000
-0.214,-0.370,-0.251,693.354,-41.220,158.841
-0.247,-0.282,-0.140,679.939,-51.707,156.524
-0.258,-0.255,-0.023,659.573,-56.768,145.671
-0.280,-0.091,0.122,641.524,-65.915,142.622
-0.352,-0.087,0.257,617.805,-68.537,126.463
-0.380,-0.178,0.436,597.378,-71.585,120.610
-0.404,-0.198,0.615,573.902,-64.512,110.122
-0.411,-0.125,0.733,555.000,-57.256,112.622
-0.411,-0.250,0.781,524.512,-46.220,94.451
-0.371,-0.270,0.858,506.768,-36.524,93.902
-0.369,-0.099,0.757,477.561,-24.695,83.537
-0.354,-0.369,0.737,449.756,-27.317,79.207
-0.325,-0.426,0.680,427.195,-22.683,77.134
-0.325,-0.252,0.522,384.085,-22.500,67.683
-0.311,-0.311,0.491,351.402,-30.183,59.146
-0.288,-0.500,0.486,319.451,-46.159,53.232
-0.289,-0.626,0.516,292.744,-50.183,49.024
-0.285,-0.744,0.604,256.524,-61.768,39.268
-0.254,-0.598,0.758,245.305,-71.585,42.256
-0.274,-0.639,0.887,217.134,-83.110,30.427
-0.287,-0.684,1.111,187.927,-80.183,27.378
-0.305,-0.750,1.231,162.500,-70.183,30.854
-0.300,-0.825,1.316,142.317,-70.488,29.878
-0.294,-0.807,1.426,122.317,-56.951,31.220
-0.289,-0.672,1.409,105.000,-48.415,34.207
-0.308,-0.592,1.391,101.646,-40.610,34.695
-0.326,-0.571,1.326,100.915,-32.805,38.720
-0.340,-0.538,1.226,108.049,-27.012,42.561
-0.313,-0.529,1.137,118.415,-25.000,44.085
-0.285,-0.512,1.065,134.268,-28.841,48.171
-0.286,-0.491,1.021,143.232,-26.768,54.634
-0.306,-0.448,1.007,151.159,-32.805,58.049
-0.323,-0.408,1.024,163.598,-37.622,63.415
-0.325,-0.325,1.047,171.646,-40.061,65.732
