aX,aY,aZ,gX,gY,gZ
0.409,-0.007,0.959,22.866,3.171,-58.780
0.410,-0.007,1.007,24.634,2.561,-68.598
0.396,0.014,0.968,25.793,3.171,-72.012
0.415,0.022,0.956,24.268,4.878,-84.512
0.407,0.029,0.941,29.817,4.390,-87.439
0.404,0.037,0.913,28.902,5.183,-92.073
0.426,0.039,0.933,30.549,7.378,-97.500
0.407,0.068,0.950,31.220,10.793,-96.098
0.387,0.072,0.949,29.390,10.793,-94.939
0.388,0.070,0.927,30.122,11.098,-93.902
0.345,0.090,0.924,30.671,9.573,-89.451
0.359,0.083,0.940,31.037,10.488,-86.402
0.362,0.088,0.936,27.622,10.427,-78.476
0.346,0.101,0.927,28.049,11.524,-71.829
0.332,0.087,0.906,31.037,12.622,-66.341
0.336,0.086,0.915,29.634,11.829,-57.988
0.330,0.111,0.945,31.646,11.768,-54.024
0.277,0.122,0.946,29.878,13.720,-45.366
0.274,0.118,0.948,27.622,12.256,-40.915
0.259,0.122,0.927,26.768,13.537,-38.049
0.253,0.124,0.926,26.768,12.256,-37.134
0.224,0.126,0.931,27.256,9.939,-35.427
0.205,0.121,0.912,27.439,9.573,-30.549
0.188,0.114,0.936,28.780,4.939,-29.512
0.171,0.123,0.946,27.317,3.537,-26.646
0.168,0.124,0.936,27.500,5.976,-23.232
0.163,0.124,0.946,28.110,-1.341,-20.976
0.169,0.126,0.954,28.049,-2.317,-14.207
0.186,0.121,0.974,28.232,-3.293,-11.463
0.187,0.113,0.960,29.695,-4.695,-11.037
0.190,0.129,0.962,27.866,-4.451,-5.000

-0.212,-3.721,-1.286,599.451,-30.976,63.720
-0.236,-3.409,-1.420,624.207,-39.817,75.671
-0.255,-3.029,-1.578,644.146,-43.476,88.598
-0.237,-2.656,-1.723,665.244,-52.378,102.317
-0.224,-2.212,-1.841,681.463,-60.122,116.829
-0.218,-1.758,-1.965,698.841,-69.268,130.427
-0.211,-1.110,-2.078,719.207,-81.768,142.683
-0.254,-0.388,-2.152,736.585,-101.768,164.878
-0.046,0.885,-2.304,740.671,-121.890,181.524
0.039,1.921,-2.272,731.768,-133.902,194.695
0.302,3.042,-2.091,719.085,-152.256,212.317
0.273,4.000,-2.074,693.902,-164.817,229.146
0.746,4.000,-1.978,650.976,-169.817,247.195
0.901,4.000,-1.310,597.988,-161.524,256.220
1.281,4.000,-1.221,525.061,-174.634,261.646
1.426,4.000,-0.737,443.780,-175.427,250.305
1.492,4.000,-0.282,359.817,-154.695,238.049
1.630,4.000,0.047,280.610,-143.354,220.061
1.799,4.000,0.467,197.134,-125.244,195.915
1.728,4.000,0.559,127.805,-108.110,166.890
1.702,4.000,0.882,69.390,-94.268,136.463
1.651,4.000,0.995,13.415,-80.366,104.634
1.607,4.000,1.071,-29.024,-73.598,72.866
1.459,4.000,1.180,-64.634,-54.939,43.354
1.395,3.928,1.235,-92.805,-37.622,12.927
1.312,3.290,1.238,-114.939,-26.951,-14.817
1.212,2.731,1.250,-129.939,-22.500,-42.744
1.121,2.175,1.249,-142.683,-16.341,-70.549
1.062,1.655,1.198,-153.171,-4.390,-95.915
1.016,1.216,1.155,-158.049,-0.122,-112.927
0.970,0.830,1.162,-158.293,6.707,-130.610
0.926,0.485,1.165,-158.049,9.695,-145.793
