aX,aY,aZ,gX,gY,gZ
0.761,-0.547,0.707,0.305,0.976,-33.659
0.768,-0.555,0.693,-0.488,3.780,-30.549
0.755,-0.552,0.680,-0.183,5.732,-31.463
0.770,-0.562,0.685,3.476,6.220,-28.902
0.745,-0.544,0.678,1.829,9.451,-36.341
0.739,-0.548,0.676,1.890,10.244,-35.427
0.728,-0.539,0.682,5.793,12.439,-40.244
0.711,-0.521,0.692,3.537,10.976,-40.610
0.688,-0.506,0.681,5.305,12.500,-44.939

0.095,1.337,0.742,-227.561,115.061,928.232
0.143,1.479,0.633,-235.732,129.268,943.354
0.162,1.464,0.664,-242.012,129.939,957.927
0.154,1.582,0.640,-250.183,134.146,971.890
0.159,1.666,0.660,-257.439,139.512,985.915
0.206,1.711,0.616,-269.390,151.037,995.549
0.225,1.805,0.550,-275.000,154.817,1005.061
0.293,1.851,0.504,-292.378,171.341,1018.719
0.357,1.933,0.472,-307.317,186.524,1025.366
0.407,1.996,0.421,-325.122,198.232,1029.512
0.468,2.031,0.374,-341.220,219.939,1023.841
0.511,1.970,0.240,-362.195,241.159,1015.244
0.518,1.858,0.123,-373.049,260.366,1008.598
0.469,1.685,0.102,-386.341,284.695,1000.488
0.413,1.375,0.051,-396.646,309.268,990.000
0.306,1.025,-0.025,-396.951,323.659,988.781
0.135,0.580,-0.104,-393.659,347.073,983.902
-0.061,0.190,-0.121,-382.622,359.390,995.732
-0.279,-0.169,-0.101,-366.829,372.500,1008.415
-0.538,-0.440,-0.124,-342.317,382.744,1028.659
-0.755,-0.647,-0.086,-318.537,392.012,1048.171
-0.968,-0.773,-0.184,-286.890,395.366,1055.244
-1.239,-0.737,-0.184,-260.488,395.000,1048.171
-1.538,-0.598,-0.021,-231.524,388.659,1014.817
-1.814,-0.662,-0.046,-196.707,373.598,959.634
-2.113,-0.688,0.014,-164.390,355.671,884.573
-2.237,-0.660,0.009,-129.146,329.756,791.219
-2.364,-0.529,0.074,-95.427,302.988,680.549
-2.261,-0.107,0.000,-63.049,262.378,567.134
-2.657,-0.389,0.094,-32.256,250.549,420.610
-2.681,-0.585,0.221,-0.732,222.134,281.768
-2.871,-0.602,0.289,19.695,193.415,135.488
-2.847,-0.497,0.341,38.902,165.366,1.098
-2.830,-0.421,0.320,58.049,131.524,-118.049
-2.836,-0.364,0.244,71.890,101.524,-225.915
-2.729,-0.308,0.241,82.927,72.439,-312.866
-2.654,-0.315,0.264,92.927,45.061,-373.415
-2.466,-0.347,0.365,97.378,23.049,-405.976
-2.374,-0.288,0.425,98.232,2.866,-416.890
-2.205,-0.224,0.492,96.341,-15.488,-407.805
-2.012,-0.156,0.502,93.049,-33.902,-375.549
-1.848,-0.065,0.562,87.988,-51.280,-336.707
-1.637,0.012,0.584,83.415,-65.976,-288.598
-1.439,0.096,0.588,74.939,-73.659,-240.549
-1.255,0.154,0.605,66.585,-84.451,-194.756
-1.066,0.221,0.652,56.585,-87.866,-159.451
-0.841,0.291,0.644,44.634,-90.976,-129.024
-0.663,0.266,0.638,35.427,-92.866,-107.561
-0.618,0.289,0.636,27.866,-88.841,-91.646
-0.405,0.280,0.502,17.500,-86.037,-87.561
-0.299,0.213,0.460,6.646,-86.402,-97.805
-0.198,0.152,0.519,2.073,-78.659,-121.890
-0.066,0.126,0.544,-2.622,-69.573,-155.671
0.056,0.011,0.579,-6.524,-58.415,-207.622
0.079,-0.134,0.617,-2.622,-47.805,-261.585
0.069,-0.244,0.626,0.000,-32.927,-324.390
0.040,-0.354,0.613,5.000,-20.427,-396.037
-0.031,-0.496,0.635,11.829,-15.183,-464.085
-0.151,-0.598,0.668,19.207,-14.451,-532.866
-0.243,-0.707,0.692,21.890,-3.780,-600.183
-0.370,-0.766,0.700,29.207,-6.707,-652.927
-0.455,-0.781,0.675,33.415,-4.268,-703.719
-0.513,-0.789,0.604,35.854,-9.024,-750.793
-0.591,-0.830,0.599,41.220,-16.585,-790.244
-0.593,-0.874,0.598,45.854,-22.561,-829.146
-0.607,-0.884,0.635,57.256,-30.610,-862.805
-0.575,-0.915,0.669,60.915,-34.329,-892.256
-0.561,-0.987,0.703,64.878,-32.012,-913.781
-0.516,-1.051,0.699,75.732,-38.902,-924.024
-0.516,-1.169,0.707,84.207,-46.037,-928.963
-0.487,-1.234,0.709,88.902,-44.024,-930.671
-0.407,-1.299,0.655,97.744,-50.122,-924.207
-0.375,-1.375,0.651,111.707,-52.866,-910.061
-0.324,-1.423,0.675,124.207,-55.549,-892.256
-0.231,-1.455,0.700,134.207,-57.866,-871.951
-0.179,-1.472,0.730,143.902,-55.854,-840.549
-0.094,-1.468,0.750,153.049,-56.037,-811.341
-0.030,-1.450,0.733,165.122,-47.500,-776.037
0.043,-1.380,0.748,173.415,-42.500,-735.305
0.082,-1.266,0.718,181.280,-39.451,-696.829
0.125,-1.123,0.682,184.085,-32.744,-660.000
0.163,-0.974,0.667,185.549,-27.988,-615.671
0.191,-0.820,0.706,183.659,-26.280,-578.659
0.200,-0.673,0.691,178.659,-20.610,-542.622
0.217,-0.566,0.701,175.732,-14.390,-514.512
0.198,-0.481,0.728,167.927,-13.232,-484.329
0.187,-0.398,0.681,160.549,-7.317,-451.890
0.193,-0.345,0.677,155.427,-9.512,-425.000
0.166,-0.282,0.680,149.146,-3.720,-394.390
0.190,-0.251,0.724,144.451,-5.244,-366.098
0.201,-0.241,0.780,139.573,-8.476,-338.963
0.239,-0.226,0.772,135.793,-7.012,-313.902
0.257,-0.228,0.822,128.110,-4.817,-296.098
0.291,-0.221,0.854,126.585,-7.195,-276.037
0.324,-0.223,0.853,122.683,0.488,-266.890
0.370,-0.204,0.872,120.915,-4.695,-263.354
0.387,-0.185,0.880,116.402,2.439,-268.293
0.396,-0.165,0.880,117.561,1.524,-268.841
0.398,-0.168,0.870,113.537,5.244,-274.634
0.384,-0.144,0.865,110.976,8.293,-285.610
0.363,-0.129,0.870,109.939,7.622,-292.927
0.348,-0.113,0.863,102.073,12.195,-301.585
0.310,-0.094,0.868,101.707,13.780,-298.720
0.272,-0.037,0.880,95.366,17.012,-299.146
0.261,-0.019,0.886,93.171,14.634,-298.780
0.240,0.016,0.887,90.305,15.000,-290.122
0.221,0.040,0.887,82.561,16.402,-281.585
0.213,0.083,0.898,82.073,10.671,-270.488
0.186,0.116,0.916,74.817,9.878,-257.439
0.195,0.158,0.911,70.244,12.561,-244.146
0.193,0.198,0.898,64.756,4.878,-228.049
0.191,0.239,0.896,58.902,8.720,-212.073
0.192,0.256,0.901,52.988,7.866,-192.317
0.192,0.269,0.894,47.744,6.463,-170.000
0.155,0.264,0.874,44.024,2.927,-148.049
0.213,0.271,0.874,36.220,0.061,-127.927
0.223,0.252,0.897,31.585,-4.573,-109.695
0.232,0.220,0.902,24.939,-3.049,-89.756
0.275,0.173,0.915,22.134,-6.646,-72.683

1.127,-0.289,0.690,65.610,190.732,-1007.805
1.130,-0.250,0.695,66.159,202.866,-1002.378
1.090,-0.298,0.718,61.707,215.366,-995.122
1.024,-0.244,0.689,62.805,225.305,-985.183
0.989,-0.218,0.660,61.524,234.634,-970.244
0.910,-0.209,0.646,59.024,241.951,-959.207
0.826,-0.176,0.629,55.793,250.183,-941.585
0.708,-0.124,0.568,52.683,258.659,-918.781
0.560,-0.055,0.525,44.756,268.902,-892.744
0.476,-0.020,0.467,38.902,272.988,-869.329
0.327,0.109,0.441,33.110,277.683,-848.293
0.189,0.163,0.489,23.415,280.671,-838.902
0.050,0.202,0.489,14.817,282.805,-835.732
-0.098,0.260,0.535,3.232,278.232,-835.610
-0.256,0.258,0.557,-2.683,268.232,-843.415
-0.423,0.300,0.559,-7.439,260.610,-855.244
-0.635,0.312,0.554,-13.659,252.134,-872.439
-0.837,0.262,0.470,-16.585,245.122,-878.963
-1.054,0.185,0.442,-24.146,231.402,-875.732
-1.265,0.035,0.450,-28.049,208.476,-850.183
-1.407,-0.095,0.514,-29.085,190.061,-801.159
-1.541,-0.220,0.554,-29.329,166.585,-729.146
-1.634,-0.332,0.578,-30.671,143.720,-643.354
-1.699,-0.450,0.589,-29.146,120.976,-541.707
-1.656,-0.447,0.620,-24.390,102.988,-429.634
-1.648,-0.473,0.708,-20.549,91.585,-323.049
-1.565,-0.441,0.765,-15.793,75.244,-227.256
-1.516,-0.410,0.810,-10.122,66.585,-145.610
-1.445,-0.319,0.845,2.256,54.695,-80.671
-1.362,-0.204,0.818,8.841,46.890,-41.646
-1.343,-0.055,0.834,17.988,35.061,-17.622
-1.331,0.070,0.818,28.598,27.378,-9.085
-1.258,0.185,0.779,34.939,20.671,-18.232
-1.242,0.274,0.729,40.671,10.488,-37.195
-1.213,0.377,0.715,48.476,-7.439,-58.537
-1.218,0.413,0.707,51.768,-12.561,-88.902
-1.171,0.442,0.693,54.512,-26.585,-117.500
-1.065,0.448,0.666,58.720,-35.854,-140.488
-1.042,0.377,0.669,61.159,-41.159,-162.195
