aX,aY,aZ,gX,gY,gZ
-0.913,-0.424,0.411,4.634,-76.585,-23.049
-0.932,-0.466,0.559,10.854,-63.049,-19.451
-0.979,-0.546,0.643,4.939,-42.988,-18.293
-0.965,-0.564,0.646,0.549,-30.976,-16.159
-0.929,-0.606,0.635,3.476,-17.500,-14.573
-0.946,-0.598,0.545,-0.488,-9.024,-11.463
-0.949,-0.545,0.504,-11.646,-5.915,-8.598
-0.952,-0.565,0.464,-16.768,-1.463,-7.622
-0.930,-0.525,0.387,-13.659,8.841,-3.902

1.238,-1.100,1.160,-6.402,-651.951,-36.220
1.058,-1.253,1.542,9.878,-645.671,-31.524
0.997,-1.314,1.801,2.134,-653.537,-16.585
0.957,-1.349,2.118,-0.366,-675.854,-1.402
1.359,-1.166,2.583,10.854,-701.707,6.341
0.836,-1.123,3.289,17.805,-728.110,20.183
0.838,-1.003,4.000,39.878,-717.561,32.866
0.760,-0.656,4.000,63.354,-681.707,47.866
0.553,-0.342,4.000,92.134,-588.781,54.085
0.318,0.051,4.000,105.732,-523.719,58.659
0.128,0.374,4.000,99.146,-467.805,53.354
-0.049,0.562,4.000,84.390,-395.000,53.232
-1.047,1.758,4.000,-73.598,-361.037,-6.280
-0.131,1.243,4.000,21.220,-56.646,25.610
-0.905,0.533,4.000,-64.390,85.427,5.732
-0.758,0.934,4.000,-14.268,116.280,1.829
-0.724,0.718,4.000,-76.037,202.012,-14.634
-0.931,0.792,4.000,-45.122,247.988,-8.902
-0.580,0.573,4.000,-50.122,287.195,-37.256
-0.211,0.335,4.000,-24.207,341.951,-41.402
-0.167,-0.059,3.765,-25.366,365.732,-42.622
-0.222,-0.247,3.109,-28.110,345.427,-41.402
-0.325,-0.490,2.697,-35.122,312.561,-42.927
-0.810,-0.684,2.457,-55.366,293.293,-33.110
-0.860,-0.724,2.204,-66.890,280.244,-20.671
-0.852,-0.512,2.070,-85.183,260.854,-10.061
-0.703,-0.367,2.128,-81.037,234.634,-9.451
-0.625,-0.269,2.353,-75.793,232.012,-10.610
-0.573,-0.145,2.450,-60.061,230.427,-8.049
-0.517,-0.088,2.610,-50.427,252.378,-5.366
-0.465,-0.061,2.688,-46.707,277.317,-3.415
-0.402,-0.038,2.810,-38.049,301.890,-7.378
-0.238,0.099,2.623,-33.598,335.427,-6.707
-0.107,0.103,2.613,-52.134,353.720,-13.354
0.010,0.050,2.327,-56.707,382.378,-20.427
0.010,-0.046,2.216,-42.561,401.768,-15.793
0.150,-0.067,2.206,-67.927,424.085,-24.146
0.260,-0.134,1.996,-72.988,474.695,-19.451
0.409,-0.124,1.618,-89.146,553.719,-14.634
0.775,-0.326,0.597,-77.927,626.159,-18.720
0.627,0.027,-0.585,-97.927,576.646,-6.646
1.589,0.405,-1.094,-83.354,482.317,-6.829
1.146,0.664,-1.060,-214.756,385.122,-44.512
0.583,-0.507,-0.027,-89.939,377.256,-38.415
0.572,0.485,-0.428,-166.890,465.000,5.610
0.500,-0.041,-1.040,-75.305,382.988,-31.341
0.566,0.021,-0.457,-118.293,345.427,-7.195
0.504,-0.496,-0.479,-125.061,365.915,-32.317
0.704,-0.199,-0.475,-248.293,339.512,5.732
0.994,-0.151,-0.135,-135.671,378.354,6.768
0.908,0.280,-0.975,-291.768,432.012,11.951
0.844,0.090,-1.585,-172.683,381.524,13.232
1.162,0.619,-1.403,-247.500,353.963,20.854
0.669,0.178,-1.722,-163.841,341.341,4.024
0.691,0.370,-2.207,-179.329,315.244,25.061
0.665,0.385,-2.468,-192.744,279.634,5.793
0.397,0.245,-2.601,-200.000,218.841,-3.293
-0.005,0.021,-2.618,-162.805,142.439,-2.927
-0.135,0.077,-2.634,-125.488,107.012,11.829
-0.456,0.041,-2.446,-85.183,52.012,34.939
-0.692,0.086,-2.232,-29.512,31.098,33.659
-0.677,0.131,-1.939,38.780,-6.951,52.317
-0.823,0.648,-1.617,45.793,-32.317,57.439
-4.000,-0.117,-4.000,69.390,-47.927,25.061
0.002,2.282,-1.543,-116.098,-137.988,5.000
-1.294,1.388,-0.378,-12.378,-20.549,-4.817
-0.841,0.534,-0.013,-5.244,-0.671,-2.561
-0.897,0.857,0.212,0.793,24.512,4.085
-1.083,0.271,0.106,7.622,59.146,-24.573
-0.937,0.213,-0.355,24.451,16.829,-9.634
-0.862,0.084,-0.092,-3.902,50.732,-21.220
-0.922,-0.143,-0.608,28.415,34.939,-19.939
-0.820,-0.205,-0.487,26.220,17.805,-10.793
-0.940,-0.299,-0.558,53.720,19.451,-4.634
-0.873,-0.286,-0.681,40.366,-20.549,-10.305
-0.937,-0.195,-0.423,34.329,-19.512,-4.817
-0.972,-0.286,-0.448,19.634,-46.159,-9.573
-0.916,-0.187,-0.120,16.159,-56.768,-4.451
-0.997,-0.255,0.044,7.012,-68.537,-15.122
-0.993,-0.193,0.294,-3.354,-77.134,-9.207
-1.038,-0.178,0.531,-12.500,-62.134,-6.037
-1.031,-0.105,0.665,-23.780,-55.671,-11.341
-1.021,-0.047,0.815,-30.793,-45.122,-12.195
-1.055,-0.103,0.995,-31.037,-36.707,-13.659
-1.046,-0.096,1.120,-29.146,-10.122,-13.232
-1.099,-0.187,1.148,-16.280,7.500,-13.659
-1.037,-0.195,1.110,-9.451,32.378,-7.500
-1.051,-0.285,0.991,-12.500,52.500,-9.695
-1.046,-0.281,0.828,-11.037,64.695,-5.915
-0.991,-0.278,0.649,-17.317,74.268,-6.341
-0.989,-0.357,0.423,-16.768,75.854,-2.073
-0.962,-0.345,0.259,-18.232,77.317,-7.988
-0.950,-0.323,0.107,-24.329,77.927,-3.598
-0.942,-0.372,-0.017,-31.341,74.939,-4.024
-0.926,-0.329,-0.140,-30.976,68.293,-0.671
-0.930,-0.322,-0.232,-32.073,62.927,-1.890
-0.923,-0.361,-0.303,-28.354,54.878,-0.427
-0.923,-0.323,-0.340,-26.098,39.390,4.268
-0.918,-0.334,-0.368,-25.793,29.390,5.488
-0.893,-0.314,-0.344,-26.159,24.634,7.378
-0.911,-0.358,-0.309,-30.061,16.220,10.610
-0.898,-0.356,-0.280,-18.537,5.244,13.171
-0.917,-0.324,-0.226,-22.622,2.500,10.183
-0.926,-0.354,-0.155,-15.183,3.902,14.939
-0.940,-0.281,-0.099,-10.244,-3.780,18.293
-0.938,-0.298,-0.029,-17.195,-5.305,21.463
-0.935,-0.272,0.029,-3.537,-8.293,19.878
-0.938,-0.280,0.049,-9.939,-2.378,22.195
-0.974,-0.290,0.095,-2.012,-2.683,27.439
-0.948,-0.249,0.108,-1.646,-0.061,23.232
-0.969,-0.263,0.122,-1.280,5.366,23.598
-0.943,-0.216,0.074,-1.768,0.061,25.183
-0.968,-0.173,0.084,-5.915,6.707,27.622
-0.957,-0.174,0.029,0.305,3.902,29.512
-0.951,-0.150,0.028,2.805,0.976,28.780
-0.953,-0.141,-0.010,4.695,-2.439,28.293
-0.962,-0.135,-0.020,1.159,1.098,26.341
-0.962,-0.141,-0.032,3.720,-2.805,29.085
-0.970,-0.149,-0.039,0.793,-8.354,30.000

-0.088,0.345,-2.213,31.707,-240.732,-46.524
-0.036,0.277,-2.160,51.098,-268.659,-43.354
1.510,0.567,-1.981,30.122,-291.341,-43.171
1.956,0.616,-1.717,57.195,-307.134,-53.171
0.131,-0.132,-1.812,212.744,-327.622,-41.524
-0.271,0.225,-1.798,206.341,-323.841,-12.866
-0.007,0.293,-2.049,185.488,-317.256,-29.390
0.497,0.235,-1.937,154.085,-356.098,-36.098
0.591,-0.007,-2.028,159.451,-385.244,-27.744
0.602,0.253,-1.959,128.110,-420.061,-32.012
0.711,0.205,-1.797,115.366,-473.171,-31.037
0.937,-0.061,-1.386,97.256,-486.768,-42.073
1.054,-0.128,-1.250,76.402,-532.561,-50.976
1.188,-0.292,-0.826,43.415,-560.366,-53.293
1.246,-0.489,-0.413,29.695,-562.134,-46.098
1.197,-0.636,-0.234,24.207,-587.561,-36.951
1.329,-0.631,0.061,35.854,-617.012,-36.463
1.252,-0.707,0.603,28.415,-641.219,-31.890
1.223,-0.812,1.180,42.073,-645.122,-20.488
1.123,-0.749,1.700,53.171,-645.671,-7.744
1.062,-0.655,2.273,73.659,-643.476,0.610
0.967,-0.611,2.875,91.524,-637.622,10.000
0.934,-0.544,3.543,112.317,-622.195,26.098
0.865,-0.067,4.000,102.866,-594.451,33.232
0.619,-0.260,4.000,152.744,-533.415,30.000
0.448,-0.232,4.000,156.280,-458.841,46.037
0.229,0.017,4.000,124.451,-401.585,50.061
0.086,0.040,4.000,110.793,-329.878,43.780
-0.177,0.245,4.000,78.659,-235.976,36.280
-1.668,0.270,4.000,162.012,-164.451,73.963
-0.437,0.305,4.000,126.098,-49.756,39.024
-0.090,0.649,4.000,-125.915,99.024,4.939
-0.396,0.702,4.000,26.220,113.537,25.122
