aX,aY,aZ,gX,gY,gZ
1.071,1.395,-1.004,470.610,-33.171,-379.756
1.132,1.520,-1.126,465.305,-15.122,-401.646
1.084,1.729,-1.185,463.049,-2.866,-408.598
1.130,1.946,-1.092,452.805,18.720,-409.024
1.190,2.104,-1.022,434.695,45.183,-395.122
1.215,2.233,-0.969,421.829,68.232,-368.780
1.241,2.357,-0.927,403.659,94.878,-337.988
1.230,2.481,-0.885,379.329,124.146,-289.024
1.225,2.570,-0.864,360.549,145.488,-236.037
1.143,2.783,-0.834,335.183,165.427,-181.890
1.159,3.012,-0.798,310.671,189.390,-124.512
1.083,3.147,-0.738,281.768,202.073,-58.659
1.049,3.335,-0.678,254.268,216.768,-0.488
1.032,3.423,-0.588,226.341,230.610,56.585
1.007,3.649,-0.643,202.195,243.841,105.854
0.984,3.800,-0.587,173.232,258.598,148.598
0.940,3.972,-0.552,145.732,270.061,184.390
0.892,4.000,-0.500,117.073,279.939,205.854
0.828,4.000,-0.477,83.354,294.634,215.000
0.766,4.000,-0.518,53.232,303.476,216.037
0.686,4.000,-0.465,22.256,320.000,198.415
0.541,4.000,-0.356,-1.159,331.098,172.866
0.123,4.000,-0.654,-36.646,343.171,129.695
0.077,4.000,-0.493,-54.329,360.305,67.561
-0.215,3.978,-0.500,-75.061,369.390,8.171
-0.457,3.750,-0.531,-93.476,365.488,-58.415
-0.739,3.573,-0.614,-116.890,363.415,-126.463
-1.009,3.329,-0.662,-137.866,352.805,-190.244
-1.259,3.089,-0.623,-162.439,337.012,-234.512
-1.493,2.857,-0.598,-184.390,324.512,-265.183
-1.646,2.614,-0.573,-210.610,309.451,-280.244
-1.801,2.320,-0.546,-234.756,288.354,-277.195
-1.911,2.027,-0.502,-256.768,264.329,-264.878
-1.968,1.752,-0.502,-274.207,243.780,-241.524
-2.001,1.460,-0.496,-293.476,221.707,-213.963
-1.998,1.160,-0.420,-304.390,197.988,-182.561
-1.943,0.844,-0.375,-314.878,177.927,-149.512
-1.899,0.585,-0.313,-322.195,160.610,-111.159
-1.801,0.364,-0.260,-329.085,145.427,-85.549
-1.749,0.127,-0.238,-331.646,131.280,-56.707
-1.682,-0.060,-0.155,-327.805,118.902,-31.463
-1.604,-0.256,-0.069,-324.695,106.098,-4.634

3.508,-1.034,-0.860,453.902,-7.439,643.963
3.542,-1.044,-0.972,463.902,-3.780,606.585
3.665,-1.045,-1.030,476.037,-5.305,570.732
3.745,-1.029,-1.073,490.793,-2.439,530.854
3.758,-0.978,-1.115,501.707,6.890,492.561
3.947,-1.004,-1.179,517.866,9.878,460.122
3.938,-0.933,-1.101,530.671,18.171,427.622
4.000,-0.792,-1.280,550.061,25.793,396.524
4.000,-0.583,-1.327,567.378,45.305,369.512
4.000,-0.303,-1.450,582.805,67.805,359.268
4.000,-0.011,-1.654,598.537,86.037,363.415
4.000,0.310,-1.837,605.915,99.817,386.646
4.000,0.599,-2.023,612.866,113.110,417.012
4.000,0.813,-2.137,615.549,129.024,460.122
4.000,1.071,-2.084,617.256,140.671,505.000
